sku,Vendor SKU,Vendor,Vendor Description,Category,Category Description,Description,StyleColor,SizeType
#83PROBOWL,,REEB,REEBOK,585,M. JERSEYS,PRO BOWL JERSEY,MARIANI,0
1002,,KSWI,NOT FOUND,126,MENS CLASSICS       ,Clasic Luxury ,BLACK,1
0001-002,0001-002,KSWI,NOT FOUND,126,MENS CLASSICS       ,CLASSIC LX,BLK,1
0001-100,0001-100,KSWI,NOT FOUND,120,MENS TENNIS         ,CLASSIC,WHT/WHT,1
001-0020,,OAKL,Oakley,920,SUNGLASSES,SPLIT THUMP 512MB,P BLK/GRY,0
13391,,BIRK,BIRKENSTOCK,160,M/W BIRKENSTOCK,YARA,HABANA,3
002012-04,,OAKL,Oakley,920,SUNGLASSES,DISCREET,JADE,0
002012-05,,OAKL,Oakley,920,SUNGLASSES,DISCREET,BRONZE,0
59461,,BIRK,BIRKENSTOCK,247,WMNS SANDALS,BOSTON,BLK OILED,3
6990101,,DANS,DANSKO,248,WMNS CASUAL/LEISURE,PROFESSIONAL,PAINTSPLAS,3
009096-04,,OAKL,Oakley,920,SUNGLASSES,FUEL CELL,CLEAR,0
009099-01,,OAKL,Oakley,920,SUNGLASSES,SPLIT JACKET,MATTE BLK,0
009198-06,,OAKL,Oakley,920,SUNGLASSES,PULSE,BLACK,0
010-01591-00,,GARM,GARMIN,950,OUTDOOR GEAR,INDEX SMART SCALE,BLACK,0
010-01591-01,,GARM,GARMIN,950,OUTDOOR GEAR,INDEX SMART SCALE,WHITE,0
010-01689-00,,GARM,GARMIN,980,MISC,FORERUNNER 35 GPS,BLACK,0
010-017690-01,,GARM,GARMIN,950,OUTDOOR GEAR,VIVOACTIVE 3,BLACK/SILV,0
010-01769-09,,GARM,GARMIN,950,OUTDOOR GEAR,VIVOACTIVE 3,ROSE GOLD,0
010-01769-11,,GARM,GARMIN,950,OUTDOOR GEAR,VIVOACTIVE 3,BLACK/SLAT,0
010-01847-00,,GARM,GARMIN,950,OUTDOOR GEAR,VIVOFIT 4 S/M,BLACK,0
010-01847-01,,GARM,GARMIN,950,OUTDOOR GEAR,VIVOFIT 4 S/M,WHITE,0
010-01847-03,,GARM,GARMIN,950,OUTDOOR GEAR,VIVOFIT 4 L,BLACK,0
010-01860-00,,GARM,GARMIN,950,OUTDOOR GEAR,BARLIMITER 2,,0
010-01988-20,,GARM,GARMIN,950,OUTDOOR GEAR,FENIX 5 PLUS,CAR GRAY,0
